# Sensor Masthugget, Majorna-Linné, Sweden (Citizen Science project sensor.community/13439)
# https://aqicn.org/station/@60853/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.05,2.96,0.83,0.25,1.23,0.614,315
2019-12-10T00:00:00.000Z,0.1,5.52,0.88,0.46,1.36,0.568,385
2019-12-11T00:00:00.000Z,0.94,3.43,2.04,1.68,2.38,0.457,409
2019-12-12T00:00:00.000Z,0.75,6.46,2.82,2.4,3.84,1.037,461
2019-12-13T00:00:00.000Z,0.78,6.62,3.74,2.74,4.59,1.158,550
2019-12-14T00:00:00.000Z,0.43,10.54,5.6,2.63,7.76,2.872,397
2019-12-15T00:00:00.000Z,0.1,2.86,0.8,0.46,1.37,0.592,564
2019-12-16T00:00:00.000Z,0.2,3.92,1.35,1.03,1.74,0.738,288
2019-12-17T00:00:00.000Z,0.24,6.84,1,0.6,2.68,1.477,290
2019-12-18T00:00:00.000Z,0,1.98,0.75,0.35,1.18,0.523,461
2019-12-19T00:00:00.000Z,0.83,6.34,3.57,1.6,4.08,1.284,533
2019-12-20T00:00:00.000Z,2.6,10.89,6.91,5.52,8.11,2.157,552
2019-12-21T00:00:00.000Z,1.75,12.4,4.9,2.46,7.44,2.725,539
2019-12-22T00:00:00.000Z,1.54,8.84,2.75,2.38,3.42,1.598,559
2019-12-23T00:00:00.000Z,0.55,4.15,1.38,1,2.64,1.018,579
2019-12-24T00:00:00.000Z,0.36,30.2,1.7,1.42,2.18,2.116,579
2019-12-25T00:00:00.000Z,0.12,5.04,1.35,0.52,2.54,1.174,578
2019-12-26T00:00:00.000Z,0.3,3.45,0.77,0.56,1.15,0.598,571
2019-12-27T00:00:00.000Z,0.15,2.52,0.98,0.79,1.2,0.347,581
2019-12-28T00:00:00.000Z,0.6,13.9,1.35,1.05,1.98,2.414,574
2019-12-29T00:00:00.000Z,1.6,20.22,14.38,9.18,15.92,5.196,572
2019-12-30T00:00:00.000Z,1.32,6.52,5.09,3.37,5.5,1.253,553
2019-12-31T00:00:00.000Z,0.27,7.74,1.18,0.62,1.9,1.138,567
2020-01-01T00:00:00.000Z,0.6,19.04,1.74,1.35,2.31,3.149,564
2020-01-02T00:00:00.000Z,1.18,27.33,8.06,6.34,10.14,6.235,562
2020-01-03T00:00:00.000Z,0.95,8.38,2.12,1.69,2.71,1.665,541
2020-01-04T00:00:00.000Z,0.2,2.38,0.6,0.46,0.77,0.293,544
2020-01-05T00:00:00.000Z,0.36,3.7,1.34,0.86,2.04,0.708,557
2020-01-06T00:00:00.000Z,0.98,5.7,2.31,1.82,2.9,0.842,510
2020-01-07T00:00:00.000Z,1.56,17.39,7.62,2.68,10.54,4.776,510
2020-01-08T00:00:00.000Z,1.65,8.85,3.16,2.54,4.22,1.797,504
2020-01-09T00:00:00.000Z,0.05,3.32,2.1,0.4,2.4,0.978,527
2020-01-10T00:00:00.000Z,0,3.3,0.85,0.26,1.76,0.782,416
2020-01-11T00:00:00.000Z,0.72,5,2.04,1.5,3.14,0.995,504
2020-01-12T00:00:00.000Z,0.55,5.35,2.16,1.54,2.54,0.812,553
2020-01-13T00:00:00.000Z,0.57,5.05,1.61,1.15,2.48,0.898,483
2020-01-14T00:00:00.000Z,0.65,6.2,2.46,2.06,3.03,1.26,432
2020-01-15T00:00:00.000Z,0.2,4.8,1.28,0.66,1.78,1.034,451
2020-01-16T00:00:00.000Z,1.65,4.25,2.5,2.25,2.75,0.42,457
2020-01-17T00:00:00.000Z,2.06,11.5,4.96,3.38,6.11,2.308,432
2020-01-18T00:00:00.000Z,0.3,12.54,1.65,1.1,5.01,3.401,490
2020-01-19T00:00:00.000Z,0.32,28.56,0.94,0.69,1.63,2.577,466
2020-01-20T00:00:00.000Z,1.01,3.74,2.65,2.29,2.9,0.541,359
